season,holiday,weekday,workingday,weather,temp,hum,windspeed,total_rental_bikes 
1,0,2,1,1,0.150,0.441,0.366,2236
4,0,6,0,1,0.325,0.545,0.180,5629
4,0,0,0,1,0.512,0.487,0.282,5041
4,0,5,1,1,0.428,0.574,0.221,4304
4,0,3,1,2,0.635,0.849,0.149,3907
2,0,2,1,1,0.323,0.290,0.187,5102
4,0,6,0,2,0.258,0.561,0.243,2739
1,0,6,0,1,0.393,0.532,0.175,4521
2,0,5,1,1,0.682,0.654,0.241,4679
1,0,4,1,1,0.187,0.438,0.278,1550
4,0,6,0,2,0.382,0.911,0.101,5582
1,0,3,1,1,0.469,0.508,0.189,4579
3,0,2,1,2,0.562,0.881,0.135,3641
2,0,1,1,2,0.598,0.811,0.233,4359
1,0,3,1,2,0.274,0.848,0.131,2177
3,0,5,1,1,0.633,0.673,0.104,8009
1,0,3,1,1,0.573,0.507,0.115,6312
2,0,3,1,2,0.532,0.821,0.090,6230
4,0,3,1,3,0.543,0.906,0.248,2416
2,0,5,1,2,0.300,0.686,0.259,2227
4,0,5,1,1,0.274,0.410,0.169,3392
2,0,1,1,2,0.430,0.737,0.289,2077
4,0,6,0,1,0.507,0.483,0.258,5217
4,0,4,1,2,0.322,0.620,0.153,5445
3,0,5,1,1,0.708,0.415,0.126,4905
4,0,6,0,2,0.410,0.754,0.292,2429
2,0,4,1,1,0.494,0.439,0.320,6133
3,0,3,1,1,0.668,0.677,0.070,7375
4,0,0,0,2,0.478,0.695,0.398,4459
1,0,1,1,1,0.467,0.489,0.208,5298
4,0,0,0,1,0.422,0.741,0.100,4381
4,0,3,1,3,0.410,0.970,0.266,705
4,0,2,1,3,0.591,0.872,0.104,4639
1,0,3,1,2,0.257,0.723,0.134,2802
2,0,3,1,2,0.657,0.670,0.134,6855
4,0,3,1,1,0.538,0.648,0.177,4826
2,0,2,1,1,0.467,0.397,0.100,6772
1,0,4,1,1,0.248,0.574,0.119,2423
1,0,4,1,1,0.144,0.437,0.222,1538
1,0,6,0,1,0.303,0.543,0.190,1011
3,0,2,1,1,0.631,0.373,0.348,7442
3,0,5,1,2,0.716,0.716,0.239,5786
2,0,5,1,1,0.649,0.736,0.143,4844
3,0,3,1,2,0.750,0.673,0.111,7534
4,1,4,0,1,0.340,0.580,0.053,2425
2,0,3,1,2,0.413,0.819,0.251,2162
4,0,3,1,2,0.358,0.667,0.167,5566
1,0,3,1,1,0.173,0.600,0.305,1162
3,0,2,1,1,0.578,0.520,0.092,7767
4,0,5,1,1,0.314,0.626,0.101,3940
4,1,1,0,2,0.383,0.710,0.190,5478
1,0,6,0,1,0.223,0.544,0.203,1472
3,0,5,1,2,0.703,0.615,0.072,7582
4,0,0,0,1,0.348,0.735,0.092,3649
3,0,1,1,1,0.644,0.692,0.089,4713
4,0,6,0,2,0.343,0.491,0.271,5138
4,0,4,1,2,0.523,0.728,0.237,7509
3,0,6,0,1,0.669,0.717,0.185,4484
4,0,4,1,1,0.494,0.621,0.135,4765
2,0,4,1,2,0.628,0.688,0.206,3767
4,0,3,1,1,0.514,0.631,0.188,7691
1,0,0,0,1,0.217,0.722,0.074,1096
3,0,4,1,2,0.728,0.703,0.239,4790
1,0,5,1,2,0.203,0.793,0.123,1167
2,0,2,1,2,0.562,0.838,0.277,4123
2,0,6,0,1,0.520,0.541,0.160,4714
2,0,5,1,1,0.479,0.590,0.228,4608
3,0,4,1,1,0.547,0.618,0.118,7720
2,0,1,1,1,0.513,0.543,0.164,3429
1,0,1,1,1,0.223,0.411,0.167,3422
2,0,6,0,1,0.693,0.733,0.199,6536
1,0,0,0,2,0.377,0.948,0.343,605
4,0,5,1,2,0.551,0.716,0.224,3644
2,0,1,1,1,0.446,0.478,0.387,5558
2,0,3,1,1,0.477,0.428,0.119,6196
3,0,0,0,1,0.806,0.481,0.165,4302
4,0,3,1,2,0.484,0.720,0.149,3894
1,0,0,0,1,0.285,0.408,0.223,1812
3,0,6,0,1,0.650,0.647,0.284,8395
3,0,2,1,1,0.747,0.590,0.126,4665
3,0,3,1,1,0.720,0.743,0.150,4629
1,0,3,1,2,0.365,0.777,0.203,2192
3,0,3,1,1,0.793,0.577,0.137,5713
4,0,1,1,1,0.340,0.703,0.106,3669
3,0,0,0,2,0.653,0.846,0.229,5255
2,0,0,0,1,0.528,0.632,0.075,4333
3,0,6,0,1,0.608,0.502,0.248,8714
4,0,5,1,2,0.321,0.764,0.131,5008
2,0,3,1,2,0.300,0.647,0.173,1536
1,0,3,1,1,0.299,0.504,0.294,2302
3,0,3,1,1,0.768,0.707,0.114,4332
3,0,2,1,2,0.736,0.704,0.117,7273
3,0,0,0,1,0.830,0.551,0.169,3606
3,0,4,1,1,0.681,0.476,0.241,5084
1,0,6,0,1,0.316,0.543,0.211,4023
1,0,4,1,2,0.317,0.753,0.091,3005
2,0,3,1,2,0.764,0.677,0.207,3974
3,0,1,1,1,0.716,0.504,0.300,6779
4,0,5,1,2,0.563,0.815,0.135,5424
4,1,4,0,1,0.373,0.549,0.167,1495
2,0,1,1,1,0.434,0.504,0.312,5936
4,0,6,0,1,0.327,0.519,0.189,3926
4,0,2,1,3,0.463,0.950,0.233,2594
3,0,0,0,1,0.816,0.519,0.169,5531
2,0,1,1,2,0.322,0.767,0.303,3214
2,0,4,1,1,0.468,0.540,0.111,3267
1,0,1,1,1,0.272,0.738,0.045,1712
4,0,5,1,2,0.375,0.500,0.261,3577
4,0,6,0,1,0.393,0.495,0.146,7109
2,0,2,1,1,0.688,0.690,0.148,6825
4,0,6,0,1,0.278,0.405,0.377,2277
1,0,1,1,2,0.181,0.604,0.187,1501
3,0,4,1,1,0.613,0.637,0.083,7804
4,0,1,1,2,0.386,0.827,0.062,3811
2,0,0,0,1,0.378,0.480,0.182,3249
1,1,2,0,2,0.291,0.735,0.169,1013
3,0,1,1,1,0.703,0.730,0.129,6917
2,0,0,0,1,0.457,0.480,0.303,3744
1,0,6,0,2,0.165,0.536,0.267,959
4,0,6,0,1,0.324,0.650,0.106,5047
1,0,3,1,2,0.344,0.805,0.179,1834
1,0,5,1,1,0.178,0.457,0.353,1543
4,0,3,1,2,0.298,0.538,0.163,5319
3,0,0,0,2,0.636,0.712,0.086,4549
2,0,1,1,2,0.635,0.746,0.155,4010
4,0,2,1,2,0.292,0.787,0.238,3959
4,0,3,1,2,0.658,0.794,0.067,7572
3,0,1,1,2,0.549,0.690,0.152,4539
2,0,5,1,1,0.755,0.605,0.141,4586
1,0,5,1,1,0.540,0.525,0.231,3239
3,1,1,0,1,0.708,0.791,0.151,6034
3,0,5,1,1,0.703,0.736,0.172,7504
3,0,2,1,1,0.744,0.634,0.144,4648
3,0,0,0,1,0.743,0.753,0.201,3785
1,0,3,1,1,0.294,0.644,0.161,4270
2,0,1,1,1,0.598,0.487,0.285,6998
2,0,5,1,1,0.628,0.735,0.163,6296
2,0,5,1,1,0.527,0.695,0.150,7290
3,0,5,1,1,0.828,0.451,0.146,6207
1,0,2,1,1,0.288,0.594,0.206,3777
1,0,0,0,1,0.362,0.477,0.223,4911
2,0,0,0,1,0.727,0.538,0.134,6598
2,0,2,1,2,0.503,0.739,0.275,2034
4,0,2,1,2,0.458,0.831,0.258,2914
2,0,2,1,1,0.608,0.390,0.274,6691
1,0,1,1,1,0.196,0.437,0.248,1349
1,0,4,1,2,0.342,0.770,0.073,4075
1,0,5,1,1,0.343,0.635,0.206,4154
4,0,1,1,1,0.238,0.671,0.063,3310
2,0,6,0,2,0.521,0.923,0.135,3409
1,0,0,0,1,0.279,0.410,0.205,3389
3,0,3,1,1,0.685,0.552,0.113,7697
2,0,3,1,1,0.595,0.614,0.242,3944
1,0,5,1,2,0.253,0.590,0.155,3095
2,0,5,1,2,0.337,0.730,0.220,1683
4,0,4,1,2,0.550,0.800,0.124,7359
1,0,4,1,1,0.266,0.524,0.130,3272
3,0,0,0,1,0.653,0.714,0.115,5046
4,0,5,1,2,0.546,0.807,0.132,7444
4,0,0,0,2,0.384,0.905,0.158,3228
3,0,0,0,1,0.722,0.624,0.170,6597
4,0,1,1,3,0.448,0.910,0.138,2765
2,0,2,1,1,0.447,0.435,0.249,5918
1,0,2,1,2,0.217,0.862,0.147,683
4,0,2,1,2,0.530,0.689,0.200,4195
3,0,4,1,1,0.696,0.636,0.085,7765
1,0,3,1,1,0.404,0.513,0.346,4916
2,0,6,0,1,0.603,0.627,0.121,5805
2,0,3,1,1,0.783,0.592,0.114,6211
1,1,1,0,1,0.322,0.507,0.239,1317
1,0,4,1,2,0.262,0.538,0.196,1927
4,0,0,0,1,0.331,0.776,0.084,3485
2,0,4,1,1,0.554,0.831,0.118,6871
2,0,0,0,3,0.397,0.835,0.345,1027
